"party","S"
"fastigheterna","3.0"
"skorrar","1.0"
"långrandig","1.0"
"rovdjur","8.0"
"bedömningsverksamhet","1.0"
"kunskapsprov","2.0"
"sträva","5.0"
"genomgående","3.0"
"besökare","7.0"
"tämligen","4.0"
"tanken","18.0"
"25-åringar","7.0"
"löneutvecklingen","1.0"
"granskningarna","1.0"
"ledsen","6.0"
"angående","12.0"
"ägodelar","1.0"
"paus","2.0"
"reglerade","1.0"
"lärarstudenter","2.0"
"huvudspåret","1.0"
"inriktningspropositionens","1.0"
"prioriteringsfråga","1.0"
"angetts","1.0"
"koordinerande","3.0"
"upptäcks","2.0"
"upptäckt","4.0"
"glider","1.0"
"prejudicerande","1.0"
"återuppbygga","1.0"
"inga","63.0"
"beslutsfattande","5.0"
"sakkunskapen","1.0"
"hårdnat","2.0"
"vapenembargo","2.0"
"utrikesutskottet","3.0"
"helikoptersystem","1.0"
"trafiktekniskt","1.0"
"uteslutas","1.0"
"oceanien","1.0"
"bejakas","1.0"
"bejakar","2.0"
"al-qaida-knutna","1.0"
"ledarskapet","1.0"
"tänker","141.0"
"kopplad","10.0"
"täcker","1.0"
"skämtsamt","1.0"
"elimineras","1.0"
"tänket","1.0"
"koldioxid","2.0"
"miljöstyrning","1.0"
"vartenda","1.0"
"räddningen","1.0"
"anhängare","2.0"
"kopplat","12.0"
"vattenkraft","1.0"
"avskaffats","1.0"
"kopplas","3.0"
"kopplar","3.0"
"spår:","1.0"
"kokain","1.0"
"skar","3.0"
"äga","12.0"
"åldrarna","6.0"
"poängtera:","1.0"
"brunkolseldade","1.0"
"ägd","7.0"
"oviktiga","1.0"
"helheter","1.0"
"ägt","3.0"
"berodde","2.0"
"ägs","5.0"
"musikkårens","3.0"
"helheten","19.0"
"uppmuntrat","3.0"
"uppmuntras","2.0"
"uppmuntrar","2.0"
"dåligt","17.0"
"omställningen","13.0"
"human","9.0"
"spåra","2.0"
"övertygad","56.0"
"momenten","1.0"
"energikommissionen","6.0"
"anade","1.0"
"inser","13.0"
"legat","10.0"
"skambud","1.0"
"övertygas","1.0"
"oviktigt","1.0"
"fallsensorer","1.0"
"lönsamheten","3.0"
"bankkonto","2.0"
"konsumtionen","5.0"
"dåliga","17.0"
"fasades","1.0"
"omställningsförsäkring","1.0"
"straffspark","1.0"
"ersätts","1.0"
"planerats","1.0"
"14 000","2.0"
"bärplockning","1.0"
"utspridning","1.0"
"vårdens","2.0"
"sistnämnda","3.0"
"ersätta","11.0"
"straffbestämmelsen","3.0"
"kandidatländer","1.0"
"laborerar","1.0"
"accepterade","1.0"
"tillväxtmarknader","1.0"
"flygattackerna","1.0"
"arbetsplats","6.0"
"speciell","3.0"
"skakande","1.0"
"återföra","2.0"
"generalisera","1.0"
"tillkom","8.0"
"granskning</em>","1.0"
"rysslandsembargot","1.0"
"undanröjas","1.0"
"folkhälsan","26.0"
"<em>bättre","1.0"
"tillväxtfokus","2.0"
"boendemiljön","1.0"
"uteslutna","1.0"
"kockar","1.0"
"vuxenlivet","1.0"
"bruttovikt","1.0"
"sprutade","1.0"
"domare","1.0"
"starkare","17.0"
"efsis","1.0"
"frågeställningen","16.0"
"familjerna","6.0"
"vingård","1.0"
"affär","16.0"
"trimmas","1.0"
"nattlönesumman","1.0"
"ungdomskriminaliteten","1.0"
"oseriösa","7.0"
"beslutade","32.0"
"sker","112.0"
"gripits","1.0"
"utmärkt","6.0"
"konjunkturläget","2.0"
"sken","5.0"
"civiliserat","1.0"
"luckorna","1.0"
"mitten","3.0"
"tredje:","1.0"
"skev","1.0"
"försäkringskassa","2.0"
"återförs","1.0"
"livsmedelskontroll","1.0"
"värnpliktssystem","2.0"
"företagsverksamhet","1.0"
"finansutskottet","4.0"
"energiproduktion?","1.0"
"integrations-","1.0"
"primärsjukvården","1.0"
"prestigen","1.0"
"landsbygds-","1.0"
"försvarsmusikverksamhet","1.0"
"tänkts","1.0"
"delaktighet","4.0"
"minursos","2.0"
"överträdelseärende","3.0"
"underhållsstödet","5.0"
"mellanstadiebarn","1.0"
"detaljkunskap","2.0"
"jobbstoppet","3.0"
"uttalat","15.0"
"tänkta","2.0"
"(alla","3.0"
"uttalar","2.0"
"eu-regler","3.0"
"tänkte","14.0"
"undanröjer","3.0"
"socialförsäkring","1.0"
"arbetsscheman","1.0"
"jobbstoppen","1.0"
"inledningsskede","1.0"
"ingå","20.0"
"ledsna","1.0"
"västvärlden","7.0"
"odelat","1.0"
"än?","1.0"
"uttalad","1.0"
"konkurreras","1.0"
"konkurrerar","2.0"
"analyseras","6.0"
"analyserar","5.0"
"allvaret","2.0"
"analyserat","3.0"
"linjen-verksamheter","1.0"
"gromning","10.0"
"miljömålsberedningen","1.0"
"ledningarna","1.0"
"markkrävande","1.0"
"meddela","3.0"
"konsumentsäkerhet","1.0"
"fångenskap","1.0"
"materielsidan","2.0"
"lista","4.0"
"generaldirektör","3.0"
"mindre;","1.0"
"döptes","1.0"
"högnivåkontakter","1.0"
"värnpliktsutbildade","1.0"
"livgardets","2.0"
"inne","47.0"
"styret","1.0"
"kungen","1.0"
"skit","1.0"
"frågeställningar","17.0"
"fotfäste","1.0"
"facket","2.0"
"utbyggda","1.0"
"grundfinansieras","1.0"
"utrikesnämnden","2.0"
"föddas","2.0"
"skraplott","1.0"
"säkrare","4.0"
"budgetdebatt","1.0"
"boendet","2.0"
"brytpunkten","3.0"
"finansinstituten","1.0"
"kärnverksamheten","2.0"
"boenden","1.0"
"besvarande","2.0"
"stampar","1.0"
"energieffektivisering","3.0"
"statskontoret","8.0"
"djurskydd","6.0"
"gengäld","1.0"
"grundinställning","1.0"
"tankat","1.0"
"styrde","6.0"
"tankar","7.0"
"unionens","3.0"
"funktionssätt","16.0"
"fastighetsskatten","8.0"
"styre?","1.0"
"är:","14.0"
"styrda","3.0"
"idrottande","1.0"
"tackar","60.0"
"starkast","1.0"
"inom","618.0"
"är?","1.0"
"polismyndigheter","2.0"
"beslutande","2.0"
"polismyndigheten","33.0"
"försvarsutskott","1.0"
"omtanke","1.0"
"förslag?","2.0"
"upptagen","1.0"
"princip","28.0"
"tackat","2.0"
"polisiär","7.0"
"86-87 procent","1.0"
"bedömning:","1.0"
"skon","1.0"
"slutrapporten","3.0"
"försvarsekonomi","1.0"
"skog","11.0"
"inse","7.0"
"mejerisektorn","1.0"
"slutrapporter","1.0"
"medieredaktion","1.0"
"ombildat","1.0"
"ombildas","2.0"
"folkhälsofrågor","1.0"
"högskole-","1.0"
"bebyggelsen","1.0"
"talen","1.0"
"brottsoffret","3.0"
"strukturmiljarderna","1.0"
"stick","1.0"
"sjukskrivningstakten","1.0"
"åkarna","11.0"
"skol-","1.0"
"brottsoffren","3.0"
"blockaden","1.0"
"pendling","1.0"
"draghjälpen","2.0"
"yrkeshögskolorna?","1.0"
"landsbygden","62.0"
"signalvärdet","1.0"
"inre","16.0"
"företrädare","52.0"
"produktionskunnandet","1.0"
"miljö","28.0"
"pehrsons","1.0"
"landade","5.0"
"hemläxan","2.0"
"saddam","1.0"
"skatteredovisning","1.0"
"s-håll","1.0"
"velat","14.0"
"utjämning","7.0"
"sammanslagningen","1.0"
"sfi-undervisningen","4.0"
"studenten","1.0"
"hyllplan","1.0"
"trängsel","1.0"
"gmo-grödor","3.0"
"dödsfall","1.0"
"vederhäftiga","1.0"
"överlåtarens","1.0"
"erövrar","1.0"
"skola","24.0"
"2,57","1.0"
"luftproblem","2.0"
"studenter","11.0"
"ombilda","1.0"
"billig","2.0"
"binda","2.0"
"ceremonimusik","1.0"
"äta","1.0"
"offentligfinansiella","8.0"
"cirkulerar","1.0"
"cirkulerat","1.0"
"används","72.0"
"lidingö","1.0"
"skogsbruk","6.0"
"efter","386.0"
"skandinavien","2.0"
"hälsoprodukt","2.0"
"jämförelseprojekt","1.0"
"inta","2.0"
"middle","1.0"
"förutsatt","4.0"
"strategier","3.0"
"småföretagare","4.0"
"inte","4385.0"
"gruppering","1.0"
"flyktingpolitik","1.0"
"tigger","1.0"
"polis","25.0"
"omställnings-","2.0"
"reseförbud","3.0"
"kanada-avtal","1.0"
"akutboende","1.0"
"långväga","6.0"
"småföretagande","5.0"
"materiel-","1.0"
"beaktade","1.0"
"fackföreningarna","1.0"
"massaindustrin","1.0"
"insyn","3.0"
"direktanslaget","1.0"
"skpf","1.0"
"fel?","1.0"
"lyssnande","1.0"
"felaktigheter","3.0"
"styrformer","2.0"
"talar","138.0"
"entreprenörskapsutredningen","12.0"
"ägnar","9.0"
"talas","14.0"
"talat","31.0"
"statusen","1.0"
"ägnat","4.0"
"stannade","1.0"
"frysningen","10.0"
"sammanför","1.0"
"utkrävas","1.0"
"förhandlingsmandat","5.0"
"timmermans","2.0"
"skog?","1.0"
"folkhälso-","1.0"
"säkerhetspolitiskt","8.0"
"erinra","2.0"
"ärnas","1.0"
"genvägar","2.0"
"ägnad","1.0"
"lantbruks","1.0"
"rysslands-","1.0"
"allvarligare","2.0"
"preciserades","1.0"
"eu-lagstiftning","3.0"
"obalanserna","1.0"
"försvåra","4.0"
"retorisk?","1.0"
"använda","174.0"
"använde","11.0"
"2,88","1.0"
"bekantskapen","1.0"
"locka","4.0"
"forces","1.0"
"världsomfattande","1.0"
"konsultera","2.0"
"idrottspolitik","1.0"
"kontrollera","18.0"
"internet","7.0"
"retoriska","1.0"
"myndighetsbeslut","2.0"
"stramaste","5.0"
"professionell","5.0"
"integritet","10.0"
"pappersindustrin","1.0"
"skum","2.0"
"omsorgsverksamhet","1.0"
"olika","578.0"
"meddelade","1.0"
"breivik","1.0"
"nära","59.0"
"ledande","29.0"
"kärnvapnens","3.0"
"borgerligas","1.0"
"datalagringsutredningens","1.0"
"sönderbombat","1.0"
"åtgärda","18.0"
"integrationen","2.0"
"miljöpartistiska","7.0"
"folkligt","1.0"
"tillstånden","2.0"
"support)","1.0"
"upptagna","2.0"
"kiosken","1.0"
"kiosker","1.0"
"folkliga","1.0"
"släktningar","1.0"
"intresserade","14.0"
"fortfarande","90.0"
"lagstiftningssynpunkt","1.0"
"överlappa","1.0"
"ställt:","1.0"
"tillståndet","5.0"
"sänkning","2.0"
"stimulansbidrag","1.0"
"krafterna?","1.0"
"föremål","17.0"
"framgångsexempel","1.0"
"bolagsstyrelserna","3.0"
"(nrf)","1.0"
"tufft","3.0"
"rut-avdrag","10.0"
"förmådde","2.0"
"förkämpe","1.0"
"kvalitetsgranska","1.0"
"tiotusentals","1.0"
"förfalskat","1.0"
"presumtiva","1.0"
"humor","1.0"
"förbandsverksamhet","1.0"
"genomgångar","1.0"
"gottpåse","1.0"
"tuffa","2.0"
"automatiskt","10.0"
"kuba","24.0"
"rådighet","2.0"
"nötdjursbidraget","1.0"
"prenumererat","1.0"
"domstolsutslag","1.0"
"näst","7.0"
"still","4.0"
"kakabavehs","3.0"
"utskott","1.0"
"beslutats","1.0"
"tänkas","1.0"
"förgröningsstödet","3.0"
"giftorättsgodset","1.0"
"näsa","1.0"
"mr-dialogen","1.0"
"fredagskväll","1.0"
"objekt","1.0"
"storstädernas","3.0"
"ställts","5.0"
"samtalsuppteckningar","1.0"
"centerpartiet","28.0"
"syntes","2.0"
"mölnlycke","1.0"
"frivården","1.0"
"riskfritt","2.0"
"aktualiserar","1.0"
"regeringsbyggnaden","1.0"
"aktualiserad","1.0"
"energipolitiken","9.0"
"fest","3.0"
"skott","4.0"
"stina","4.0"
"bernadotteakademin","1.0"
"tonläge","6.0"
"tensta","1.0"
"kommunpolitiker","4.0"
"återrapporteringar","1.0"
"polisverksamhet","4.0"
"skolformer","2.0"
"hasta","1.0"
"vårdföretagare","4.0"
"utvecklingsområde","1.0"
"ingenting","47.0"
"beskatta","2.0"
"bröllop","3.0"
"bieffekterna","1.0"
"insatserna","17.0"
"säkerhetspolitiska","34.0"
"åklagarväsendet","2.0"
"missbruka","2.0"
"perssons","2.0"
"förlägga","2.0"
"bäddat","1.0"
"rapportering","3.0"
"knappnål","1.0"
"flygplatsnedläggningar","2.0"
"barrikaderna","1.0"
"stiga","2.0"
"satsat","6.0"
"förhör","1.0"
"framtidsinvesteringarna","1.0"
"borgarna","2.0"
"brasilienaffären","1.0"
"svappavaara","3.0"
"industrins","6.0"
"deklarationen","2.0"
"fördömt","1.0"
"återupprepar","1.0"
"sexualbrottskommitténs","1.0"
"framtidstron","2.0"
"ersatta","1.0"
"personalkostnaderna","1.0"
"öppenhetsförordningen","1.0"
"psykiska","19.0"
"omöjlighet","1.0"
"belägenhet","1.0"
"materiell","1.0"
"fördöma","2.0"
"riksdagsbeslutet","5.0"
"förkortats","1.0"
"rekryteringsåtgärderna","1.0"
"uran","1.0"
"avsevärt","2.0"
"åkerinäringen","2.0"
"arbetsomständigheter","1.0"
"tillvaron","2.0"
"glastaket","2.0"
"avfolkningen","1.0"
"1988/89","2.0"
"bästa","101.0"
"demokrati","21.0"
"avsevärd","2.0"
"pendlingskommun","1.0"
"svartarbete","2.0"
"skattemedlen","3.0"
"rättvist","6.0"
"tänka?","1.0"
"åkermark","1.0"
"väntade","1.0"
"grundförutsättningen","1.0"
"högskolan","22.0"
"migrationsministern","3.0"
"fosfor","1.0"
"(rir","1.0"
"infrastrukturprojekt","7.0"
"regeringskansli","1.0"
"arbetsstyrkan","1.0"
"gävle","10.0"
"nybyggd","3.0"
"oppositionella","4.0"
"satsar","36.0"
"satsas","3.0"
"inneboende","1.0"
"rösters","3.0"
"funktionen","2.0"
"funktioner","4.0"
"inrättandet","2.0"
"gissa","2.0"
"sättas","12.0"
"subventionsgrad","1.0"
"(andt-strategin)","1.0"
"slag","17.0"
"livsmedelskedjan","6.0"
"gymnasieskola","6.0"
"tandhälsan","1.0"
"västsahara","7.0"
"provanställningstiden","3.0"
"socialavgiftsuttaget","1.0"
"järnvägsinnehåll","1.0"
"störningar","7.0"
"våldsamheter","1.0"
"regelbaserat","2.0"
"diskutera","108.0"
"utslussning","1.0"
"servicecenter","7.0"
"planläggningar","1.0"
"musik","1.0"
"någonstans","20.0"
"åtskilliga","1.0"
"pnr-information","1.0"
"genomfört","17.0"
"deltidsbrandmän","5.0"
"fortsättningsvis","20.0"
"riksrevisionens","5.0"
"reklammedia","1.0"
"science","9.0"
"jämställdhetsbonusens","1.0"
"tredubblats","2.0"
"samarbetsformer","3.0"
"genomföra","83.0"
"reklametableringar","1.0"
"bilprovningen","1.0"
"riksintresse","1.0"
"investeringsskyddsavtal","1.0"
"inofficiella","1.0"
"handledningen","1.0"
"forslund","1.0"
"fortlöpande","4.0"
"attityd","1.0"
"icke-spridningsavtalet","1.0"
"genomförs","17.0"
"genomförd","3.0"
"feminismen","2.0"
"därtill","6.0"
"partikansli","4.0"
"transportarbetareförbundet","2.0"
"spelat","3.0"
"spelas","1.0"
"spelar","32.0"
"crossboard","1.0"
"sanningar","2.0"
"tillhör","15.0"
"nyttan","1.0"
"hänseende","1.0"
"störningen","2.0"
"eftermäle","1.0"
"spelad","1.0"
"kapitalt","3.0"
"åsikt","7.0"
"redogjort","7.0"
"talarstol","6.0"
"högteknologiska","1.0"
"sätten","2.0"
"tillgodose","22.0"
"sätter","36.0"
"volvo","7.0"
"sättet","103.0"
"lagras","4.0"
"fortsätter","69.0"
"bostadsinbrott","16.0"
"påbörjas","13.0"
"röstats","3.0"
"genomförbar","1.0"
"påbörjar","10.0"
"påbörjat","13.0"
"asylansökningarna","2.0"
"utförligt","2.0"
"marginalkostnaden","1.0"
"pnr-system","2.0"
"samordningsfunktionen","1.0"
"huvudskäl","1.0"
"havs-","6.0"
"togs","20.0"
"lönebildning","1.0"
"lagrad","1.0"
"syriska","8.0"
"räntor","5.0"
"tydligt:","1.0"
"utlandsmyndigheter","1.0"
"beskrivna","1.0"
"duger","1.0"
"påbörjad","1.0"
"frukter","2.0"
"mammor","1.0"
"decemberöverenskommelsen","2.0"
"primär","1.0"
"indelar","1.0"
"övertolkar","1.0"
"fornarve","5.0"
"löntagarkollektivet","1.0"
"fiffel","2.0"
"löper","4.0"
"fokuserade","1.0"
"russinen","2.0"
"alkoholfrågor","1.0"
"tobé","10.0"
"reaktorerna","1.0"
"premiepensionen","2.0"
"socialbidrag","2.0"
"indelad","1.0"
"trafiksäkerhet","3.0"
"bidragshöjning","1.0"
"avvecklade","1.0"
"vinnarlän","1.0"
"komma","409.0"
"familj","11.0"
"livsmedelsförsörjning","12.0"
"arbetsmodell","1.0"
"steget?","1.0"
"medan","38.0"
"fångats","2.0"
"bilprovningar","2.0"
"intervenera","1.0"
"rättighetsbilden","1.0"
"uppköpta","1.0"
"gömma","3.0"
"lärarutbildningen","6.0"
"skadestånd","4.0"
"utbildning?","1.0"
"maxbeloppet","1.0"
"växtodlarna","1.0"
"utbildning;","1.0"
"vinner","6.0"
"åka","22.0"
"gick","60.0"
"förgiftade","2.0"
"tsunamin","1.0"
"gift","1.0"
"äldreomsorgen","98.0"
"rikspolisstyrelsen","7.0"
"cykelbanor","1.0"
"bedömningar","37.0"
"debatterade","1.0"
"åkt","4.0"
"observatörsinsats","1.0"
"splittrad","1.0"
"vägarna","17.0"
"arbetsmarknadspolitiska","18.0"
"farliga","4.0"
"skattekvoten","1.0"
"vägslitageavgift?","1.0"
"samarbetsregering","12.0"
"skifferolja","1.0"
"kurs","1.0"
"utfallet","8.0"
"managementfilosofier","1.0"
"produktionen","14.0"
"brottsmisstanke","5.0"
"statsledningen","1.0"
"näringslivsklimat","1.0"
"höger","1.0"
"talare","4.0"
"ränteavdrag","2.0"
"gräddfil","1.0"
"användarnas?","1.0"
"ungdomsarbetslöshet","12.0"
"andel","34.0"
"ansvarsområde","7.0"
"klasserna","1.0"
"samtida","1.0"
"krokben","1.0"
"tv-soffan","1.0"
"utrikesministrar","1.0"
"vestlund","9.0"
"förortskommuner","1.0"
"garant","1.0"
"logik","2.0"
"följdfråga:","1.0"
"arbetssättet","2.0"
"dialogens","1.0"
"förolämpa","1.0"
"vinnova","2.0"
"it-brottscenter","2.0"
"övertygade","5.0"
"förbereds","1.0"
"motorfordon","1.0"
"bolagsfråga","1.0"
"lyder","3.0"
"östersund","5.0"
"ogiltigförklarat","1.0"
"avdragsrätt","1.0"
"tomt","2.0"
"underrättad","1.0"
"landsbygden?","1.0"
"livsinkomstprincipen","1.0"
"odlingslandskap","1.0"
"medel","51.0"
"klimatförändring","1.0"
"förnekat","2.0"
"aspekter","23.0"
"navigera","1.0"
"splittrat","2.0"
"riga","1.0"
"trupper","4.0"
"metodik","1.0"
"bosättningsbegreppet","1.0"
"aspekten","3.0"
"spretighet","1.0"
"skatteuttag","13.0"
"medbestämmandelagen","3.0"
"räntan","2.0"
"justera","3.0"
"börsvärden","1.0"
"socialavgifter","3.0"
"förhandlingspersonen","3.0"
"slit","1.0"
"ton:","1.0"
"tolv","9.0"
"förberedd","2.0"
"littorin","1.0"
"naturligtvis","282.0"
"utbildningsnivå","3.0"
"kust","3.0"
"oförutsedda","1.0"
"farligt","8.0"
"eu-arbetet","2.0"
"fiffla","1.0"
"nyttig","1.0"
"förbereda","5.0"
"rekommenderar","1.0"
"rekommenderas","1.0"
"klimat","12.0"
"studiestimulanser","1.0"
"6 000","11.0"
"medge","3.0"
"säkerhetsläget","4.0"
"kännedom","4.0"
"topp","3.0"
"föredömligt","6.0"
"bedömningen","46.0"
"rekommendationer","11.0"
"skrota","1.0"
"insikt","5.0"
"högskolor","18.0"
"öppettider","2.0"
"motsvarar","11.0"
"volym","4.0"
"damen","3.0"
"rekommendationen","1.0"
"extraordinära","1.0"
"motsvarat","1.0"
"demokratistödjande","1.0"
"entusiastiska","1.0"
"omsättningsförmåga","1.0"
"föredömliga","1.0"
"huvuduppgiften","2.0"
"avgett","1.0"
"huvuduppgifter","1.0"
"tilliten","3.0"
"år:","1.0"
"år?","10.0"
"sahlin","5.0"
"läraren","3.0"
"handelsförhandlingarna","1.0"
"extraordinärt","1.0"
"svenska","465.0"
"arbetsmarknadsminister","8.0"
"svartepettern","2.0"
"låginblandade","1.0"
"utgångspunkterna","2.0"
"medicintekniska","1.0"
"principfrågorna","1.0"
"besöksnäringens","1.0"
"arbetspendlande","2.0"
"andas","4.0"
"slog","6.0"
"medlemsländerna","4.0"
"faktisk","4.0"
"fortlevnad","2.0"
"gruppstorlekarna","1.0"
"trafikskolor","1.0"
"tydliggöra","16.0"
"tomten","1.0"
"media","1.0"
"tomter","1.0"
"sverige-finland","1.0"
"översyner","2.0"
"smarta","6.0"
"avdragsrätten","11.0"
"rikt","1.0"
"tydliggörs","1.0"
"svenskt","59.0"
"översynen","7.0"
"kyrkornas","1.0"
"haven","1.0"
"könssegregerad","2.0"
"ifrågasattes","1.0"
"affärsmässigt","8.0"
"specifik","3.0"
"ålägga","1.0"
"spelet","1.0"
"års","49.0"
"metoder","26.0"
"omgång","1.0"
"gymnasieskolan","16.0"
"prövoperiod","1.0"
"prognoser","4.0"
"havet","2.0"
"metoden","4.0"
"prognosen","4.0"
"åsa","26.0"
"affärsmässiga","1.0"
"arbetspendling","6.0"
"brottmålshanteringen","1.0"
"ekonomistyrningsverket","1.0"
"åse","1.0"
"omtolkning","1.0"
"åläggs","1.0"
"folkmun","2.0"
"beredskapskontroller","1.0"
"rika","1.0"
"organisatorisk","2.0"
"expansiv","7.0"
"refererades","2.0"
"överskottet","2.0"
"kontraktstyper","1.0"
"systematisk","6.0"
"ordinera","1.0"
"jobbfrågan","2.0"
"försoning","1.0"
"energieffektiviseringar","1.0"
"minimikrav","1.0"
"deklarerade","1.0"
"ägarandel","1.0"
"åta","2.0"
"anställningsförfaranden","1.0"
"beskrivas","1.0"
"koldioxidutsläppen","1.0"
"terrorbrott","2.0"
"martyrer","1.0"
"merparten","4.0"
"granarna","1.0"
"finanskapitalet","1.0"
"kurser","7.0"
"addera","1.0"
"fordringsbedrägeri","5.0"
"arbetsmiljöarbetet","8.0"
"cigarretter","1.0"
"befintliga","27.0"
"sluta","17.0"
"biståndsgivare","1.0"
"handelsutbytesfrågorna","1.0"
"ursäkt","8.0"
"tydligen","10.0"
"processansvaret","1.0"
"hälsofrämjande","2.0"
"koppla","5.0"
"miljöbelastande","1.0"
"trossamfunden","3.0"
"gods-","1.0"
"pensionsöverenskommelsen","5.0"
"socialsekreterare","4.0"
"förenklingsresan","2.0"
"sjöstad","2.0"
"jordbruksministern","1.0"
"uppdagas","1.0"
"satsning","42.0"
"värld?","1.0"
"livad","1.0"
"myndighetsledningens","1.0"
"framkant","2.0"
"införseln","3.0"
"vårdsektorn","5.0"
"lycka","2.0"
"stalkningen","2.0"
"professionerna","1.0"
"pendlingssträckor","1.0"
"bombastiska","1.0"
"haddads","4.0"
"kvinnodominerad","1.0"
"riksdagsskrivelser","2.0"
"storligen","1.0"
"lönepolitik","1.0"
"lagrum","1.0"
"kandidater","1.0"
"självfinansierad","1.0"
"kommande","64.0"
"protester","3.0"
"målinriktat","1.0"
"föräldraledighet","4.0"
"musikkåren","14.0"
"absoluta","5.0"
"nonchalerar","2.0"
"nonchalerat","1.0"
"nedlagda","2.0"
"sannolikhet","3.0"
"motståndare","3.0"
"bombastiskt","1.0"
"förgrunden","1.0"
"musikkårer","6.0"
"eftersläpning","1.0"
"skattesats","5.0"
"förstör","1.0"
"aktiekapitalets","1.0"
"norrköping","4.0"
"valutslag","1.0"
"studiemotivation","1.0"
"regeringsmakten?","2.0"
"20-åring","1.0"
"bruttoskulden","1.0"
"ägarsamordning","2.0"
"inkomstfördelningen","1.0"
"philip","3.0"
"slut","32.0"
"lärosäten","11.0"
"kungsängen","1.0"
"miljöer","3.0"
"undanröja","1.0"
"näringsutskottets","1.0"
"tacklas","1.0"
"grundskoleutbildning","1.0"
"ordinarie","11.0"
"språkbruk","1.0"
"jönköpings","2.0"
"ekvation","1.0"
"avhoppen","1.0"
"fordonsmekaniker","1.0"
"uppbygglig","1.0"
"infrastruktursatsningar","6.0"
"humanitär","2.0"
"marknadskompletterande?","1.0"
"brottmålsdomstolen","2.0"
"linköpings","4.0"
"hoppats","6.0"
"anslag?","1.0"
"oberäkneligt","1.0"
"miljöarbetet","2.0"
"eu-parlamentet","4.0"
"lärarna","6.0"
"kärnvapennedrustning","1.0"
"styrande","7.0"
"aktivare","1.0"
"nått","5.0"
"viltmyndigheten","1.0"
"livsmedelsexport","1.0"
"framöver","72.0"
"samhällsskydd","12.0"
"skrämda","1.0"
"bosättningsbeslut","1.0"
"portarna","1.0"
"handplockat","1.0"
"stridsberedskap","1.0"
"straffsatserna","4.0"
"lindahl","8.0"
"kval","1.0"
"utstationeringsdirektivet","8.0"
"planerade","15.0"
"snökaos","1.0"
"mamman","1.0"
"kvar","119.0"
"våldsgärningar","1.0"
"restriktioner","10.0"
"50-årsfesten","1.0"
"område","62.0"
"fordonsföretagen","1.0"
"kolkraft","1.0"
"ekipage","3.0"
"jämlikhetsperspektivet","1.0"
"tvingades","1.0"
"butik","6.0"
"risk","47.0"
"växlarna","1.0"
"arbetsmarknadspolitisk","4.0"
"yrkesintroduktionsavtalsjobb","1.0"
"etableringsinsatser","3.0"
"sjukdomsbesked","1.0"
"etablerades","2.0"
"beskrivit","4.0"
"koalition","2.0"
"blockgränsen","5.0"
"debatterats","1.0"
"oviss","1.0"
"muteborg","1.0"
"tvåpartsprocess","1.0"
"kostnaderna","23.0"
"riva","14.0"
"förhandlingsvägen","1.0"
"efterfrågat","2.0"
"efterfrågas","7.0"
"lokalisera","6.0"
"svt:s","2.0"
"trafikera","1.0"
"livsvarigt","1.0"
"lyft","18.0"
"anpassa","11.0"
"livet","32.0"
"explicit","2.0"
"talarstolen","28.0"
"skatteförändringarna","4.0"
"arbetarrörelsen","2.0"
"investeringsintressen","1.0"
"likasinnade","1.0"
"snarare:","1.0"
"exportnäring","1.0"
"avgående","2.0"
"utlandsmyndigheterna","2.0"
"riksdagsprotokollen","1.0"
"varierat","1.0"
"varierar","4.0"
"förbättringspotential","6.0"
"länspolitik","1.0"
"rättsliga","16.0"
"obamas","1.0"
"överklagandet","1.0"
"finansdepartement","1.0"
"överklaganden","2.0"
"önskemålet","2.0"
"barbariska","1.0"
"innerst","1.0"
"slutbehandlade","1.0"
"önskemålen","1.0"
"eniga:","1.0"
"sträckningarna","1.0"
"(transatlantic","1.0"
"utläsa","1.0"
"behovsbedömningar","1.0"
"vänligt","1.0"
"förbättringsförslag","1.0"
"spanien","2.0"
"följdfrågor","1.0"
"fordonsmarknaden","1.0"
"miljöbalkens","1.0"
"nickande","1.0"
"lettiska","2.0"
"flerbostadshus","1.0"
"twitterinlägg","1.0"
"nedrustning","3.0"
"systematiskt","10.0"
"resande","8.0"
"avhopparverksamhet","1.0"
"jordbrukarnas","1.0"
"förberett","2.0"
"uppriktig","2.0"
"bespara","1.0"
"bevekelsegrunder","4.0"
"kadmium","4.0"
"rättsligt","2.0"
"personuppgiftslagen","2.0"
"bevekelsegrunden","1.0"
"systematiska","5.0"
"brottsoffrets","1.0"
"lagstiftningen","71.0"
"naturligt","21.0"
"polismästardistrikt","1.0"
"bättre","342.0"
"kräv","1.0"
"licensjakter","1.0"
"promemoria","1.0"
"engagemang","45.0"
"hälsofarliga","2.0"
"licensjakten","3.0"
"skyndsamt","11.0"
"beskriver","22.0"
"helårsarbetare","2.0"
"vanligaste","5.0"
"problemfokusfasen","1.0"
"statsrådet:","2.0"
"brottsoffrens","1.0"
"statsrådet;","1.0"
"volymen","1.0"
"volymer","7.0"
"förbättrades","3.0"
"kvoterade","1.0"
"försenar","1.0"
"sverige-finland-relationen","1.0"
"försenat","2.0"
"åbergs","1.0"
"försenas","2.0"
"inkomstsidan","2.0"
"femte","7.0"
"licensjakt","13.0"
"alltmer","18.0"
"östersjöländers","1.0"
"naturliga","5.0"
"budgetredovisningen","1.0"
"skadegörelse","6.0"
"välskrivet","1.0"
"andre","3.0"
